Name,Mobile,Email,Source,Location,Interested Product,Lead Value,Created By,Assigned To,Status,Priority,Created At
Charvi Lad,917928033396,deepurvi@yahoo.com,LinkedIn,Delhi,ERP System,43363,Johnson Joseph,Sales2,closed,hot,2025-10-13
Lakshit Ramesh,918014000727,hchaudhry@gmail.com,Referral,Hyderabad,Mobile App,37002,Team Lead,Sales1,converted,cold,2025-10-27
Alisha Chadha,916318646463,tailorpihu@yahoo.com,Google Ads,Mumbai,Digital Marketing,5929,Admin,Sales3,converted,hot,2025-10-09
Rhea Bali,918768821397,indranil25@hotmail.com,Facebook,Delhi,ERP System,67462,Appu Saviyo,Sales4,unavailable,cold,2025-08-27
Krish Sule,919400831547,vritikakoshy@gole.org,LinkedIn,Kochi,Digital Marketing,75928,Nygil Binoy,Sales3,unavailable,warm,2025-09-10
Zaina Majumdar,918153356179,balisahil@sekhon-sem.info,Instagram,Kochi,Digital Marketing,14566,Johnson Joseph,Sales1,unavailable,cold,2025-09-26
Tiya Jayaraman,916741134891,samarrege@kar.net,Facebook,Chennai,Digital Marketing,58595,Team Lead,Sales5,unavailable,hot,2025-09-08
Vanya Majumdar,917562929828,adahkrishnamurthy@thakur.net,Google Ads,Bangalore,Digital Marketing,54578,Johnson Joseph,Sales5,new,cold,2025-08-20
Ivan Buch,918780155330,shraylad@yahoo.com,Google Ads,Kochi,Mobile App,13387,Team Lead,Sales4,converted,warm,2025-10-27
Ojas Chaudhari,919108412367,mishtidoshi@hotmail.com,LinkedIn,Delhi,CRM,44694,Admin,Sales5,contacted,warm,2025-09-26
Damini Rege,917332435144,jayansahni@sem.com,LinkedIn,Hyderabad,Digital Marketing,17901,Team Lead,Sales1,converted,cold,2025-10-26
Aniruddh Baria,917617825308,nehmat39@ranganathan-reddy.com,LinkedIn,Bangalore,CRM,88833,Team Lead,Sales1,closed,cold,2025-09-23
Nayantara Dora,917554039848,zaraswamy@hotmail.com,Facebook,Bangalore,Mobile App,24627,Nygil Binoy,Sales3,closed,hot,2025-09-14
Amani Bansal,916972994972,advikajohal@kata-chaudry.com,Instagram,Chennai,Web Design,39770,Admin,Sales5,unavailable,cold,2025-10-03
Saksham Venkataraman,919795386003,yakshit25@hotmail.com,Naukri,Kochi,Mobile App,82006,Nygil Binoy,Sales5,closed,hot,2025-09-29
Samar Dara,916696846464,deolalisha@gmail.com,Instagram,Hyderabad,ERP System,22697,Appu Saviyo,Sales1,closed,warm,2025-08-19
Badal Dhillon,918904956613,kdash@yahoo.com,LinkedIn,Chennai,Digital Marketing,81031,Johnson Joseph,Sales4,contacted,cold,2025-10-01
Kanav Singh,917027220866,dkurian@wable-dube.info,Google Ads,Mumbai,CRM,49213,Team Lead,Sales4,closed,warm,2025-08-08
Vihaan Krishnan,919342017284,madhavmanne@yahoo.com,Referral,Delhi,ERP System,55874,Nygil Binoy,Sales2,unavailable,hot,2025-08-10
Raunak Kota,919749514711,heer01@yahoo.com,Google Ads,Kochi,Digital Marketing,49655,Team Lead,Sales1,unavailable,hot,2025-08-19
Samiha Goswami,917224336336,azad60@hotmail.com,Facebook,Chennai,Mobile App,59893,Team Lead,Sales2,closed,hot,2025-09-29
Taran Malhotra,919910589015,hansdishani@yahoo.com,Instagram,Mumbai,Mobile App,4495,Appu Saviyo,Sales1,closed,cold,2025-10-19
Misha Sangha,917606152369,divithegde@sundaram-gara.net,Instagram,Mumbai,Web Design,50140,Nygil Binoy,Sales1,converted,hot,2025-09-10
Kiaan Ramachandran,919604234700,bajajarmaan@gmail.com,LinkedIn,Hyderabad,Mobile App,20142,Nygil Binoy,Sales1,converted,warm,2025-10-14
Zaina Khalsa,918989606411,mahikawarrior@hotmail.com,Instagram,Hyderabad,Digital Marketing,59799,Team Lead,Sales1,new,hot,2025-08-19
Manjari Dutta,917099184899,vrandhawa@rajagopalan-ganguly.net,Instagram,Chennai,ERP System,96320,Team Lead,Sales5,closed,hot,2025-10-25
Rhea Manda,919333636070,btandon@yahoo.com,Google Ads,Chennai,Mobile App,16970,Admin,Sales2,closed,cold,2025-09-07
Zeeshan Manne,919409770698,rajuanika@yahoo.com,Naukri,Mumbai,Web Design,15530,Appu Saviyo,Sales5,unavailable,hot,2025-10-08
Saira Bal,918714225802,eshanirau@hotmail.com,Naukri,Delhi,CRM,95181,Nygil Binoy,Sales3,closed,hot,2025-10-05
Hunar Tara,918640587058,mangatrati@chandran.info,Google Ads,Chennai,ERP System,55600,Nygil Binoy,Sales1,unavailable,warm,2025-09-05
Indrajit Jhaveri,916290680473,xkrishna@keer.com,Naukri,Delhi,ERP System,67535,Team Lead,Sales1,closed,warm,2025-10-13
Ela Chawla,916186978937,ylall@yahoo.com,LinkedIn,Mumbai,Mobile App,34246,Admin,Sales3,new,warm,2025-08-22
Hazel Garg,917035627944,manjari73@gmail.com,LinkedIn,Hyderabad,Web Design,77271,Johnson Joseph,Sales2,new,warm,2025-09-02
Mamooty Dixit,918345111169,prishasarraf@yahoo.com,Google Ads,Hyderabad,CRM,90742,Appu Saviyo,Sales4,contacted,hot,2025-09-05
Stuvan Mammen,916271014739,gatik98@yahoo.com,LinkedIn,Mumbai,Web Design,39462,Nygil Binoy,Sales1,contacted,hot,2025-10-31
Shray Som,917355473709,arnav41@kant-sagar.com,Google Ads,Delhi,Digital Marketing,72176,Appu Saviyo,Sales3,new,cold,2025-10-17
Lakshit Chaudhuri,916820782998,hiran19@hotmail.com,Google Ads,Bangalore,Web Design,86948,Johnson Joseph,Sales3,new,warm,2025-10-01
Nirvaan Bakshi,917876691885,baijubedi@gandhi-sekhon.info,Referral,Hyderabad,Digital Marketing,51678,Johnson Joseph,Sales2,closed,cold,2025-08-15
Aarush Maharaj,918136846691,esachdeva@sachdev-chaudhry.com,Google Ads,Delhi,Mobile App,11828,Appu Saviyo,Sales1,closed,cold,2025-09-06
Neelofar Balan,919531928910,hazelshankar@varghese.biz,Instagram,Delhi,Mobile App,43101,Admin,Sales1,converted,cold,2025-10-30
Armaan Toor,917269763934,vchander@yahoo.com,Google Ads,Mumbai,ERP System,95065,Appu Saviyo,Sales2,closed,warm,2025-10-30
Aayush Dixit,917920407276,raunak78@koshy.net,Facebook,Hyderabad,Mobile App,81589,Appu Saviyo,Sales3,new,hot,2025-09-20
Kartik Tailor,918882712850,ishaan74@chander.com,LinkedIn,Mumbai,Mobile App,68251,Nygil Binoy,Sales1,contacted,cold,2025-10-21
Jiya Sandal,918912369511,manjarivarty@yadav.biz,Referral,Kochi,CRM,9812,Nygil Binoy,Sales3,converted,warm,2025-09-25
Dhruv Iyer,918436297208,hirankhare@dash-aggarwal.com,Facebook,Delhi,CRM,90006,Appu Saviyo,Sales3,converted,warm,2025-09-12
Alia Shetty,919277422858,romil99@gmail.com,Facebook,Delhi,CRM,70397,Johnson Joseph,Sales4,converted,cold,2025-08-31
Rania Dalal,917196963451,kaulryan@jain.net,Instagram,Kochi,Web Design,97426,Nygil Binoy,Sales4,unavailable,warm,2025-11-03
Prisha Bhargava,919923635189,mannat33@gmail.com,Naukri,Kochi,Mobile App,35116,Appu Saviyo,Sales2,unavailable,warm,2025-09-21
Amani Shenoy,918980624159,jsarna@yahoo.com,Referral,Chennai,Web Design,18790,Admin,Sales4,contacted,cold,2025-10-18
Tarini Dasgupta,917911737999,tlalla@barad-manda.com,Facebook,Hyderabad,Mobile App,88535,Johnson Joseph,Sales1,unavailable,cold,2025-08-11
Kaira Loyal,917247096480,shaanvarma@kant.com,Google Ads,Chennai,CRM,48381,Team Lead,Sales2,new,hot,2025-10-14
Divij Yogi,919401896171,karanhansh@hotmail.com,Instagram,Chennai,Digital Marketing,4445,Johnson Joseph,Sales5,unavailable,warm,2025-09-15
Jivika Balakrishnan,918007492791,samaira06@yahoo.com,Naukri,Chennai,ERP System,12300,Admin,Sales3,closed,cold,2025-10-24
Shanaya Chopra,919087521674,kakarshray@balay.com,Referral,Delhi,Digital Marketing,54665,Team Lead,Sales1,contacted,warm,2025-09-20
Reyansh Jayaraman,918758823240,tiyarege@roy.biz,Facebook,Mumbai,Digital Marketing,90143,Team Lead,Sales3,contacted,cold,2025-09-18
Uthkarsh Baria,918747893988,fateh28@lalla-bhatt.com,Naukri,Chennai,CRM,57704,Team Lead,Sales1,new,cold,2025-10-26
Tanya Apte,916657196424,usamra@hotmail.com,Google Ads,Chennai,CRM,43291,Nygil Binoy,Sales3,unavailable,warm,2025-09-16
Manikya Dasgupta,919633257620,indrans43@hotmail.com,Facebook,Bangalore,CRM,84238,Team Lead,Sales3,contacted,cold,2025-10-19
Arhaan Tailor,917300621767,daralagan@gmail.com,Naukri,Delhi,Web Design,66873,Nygil Binoy,Sales5,unavailable,hot,2025-08-15
Alia Ram,916735301069,seherbains@kanda-dada.net,LinkedIn,Delhi,ERP System,45252,Team Lead,Sales1,new,hot,2025-08-27
Hiran Krishnamurthy,916195256953,sanamani@yahoo.com,LinkedIn,Delhi,Mobile App,86344,Nygil Binoy,Sales5,closed,cold,2025-10-01
Miraan Dora,918744446292,zaindoctor@balasubramanian-mallick.org,Facebook,Mumbai,ERP System,38967,Johnson Joseph,Sales4,contacted,cold,2025-10-30
Mishti Sane,917744154114,wbajwa@hotmail.com,Google Ads,Mumbai,Web Design,91257,Admin,Sales2,closed,warm,2025-10-10
Vedika Lala,918079842771,jjayaraman@yahoo.com,Referral,Chennai,Mobile App,80516,Nygil Binoy,Sales3,converted,cold,2025-09-11
Tanya Luthra,919697010641,mamootydoctor@hotmail.com,Google Ads,Mumbai,CRM,49567,Team Lead,Sales5,new,warm,2025-08-20
Bhavin Mand,917038256217,hmallick@gmail.com,Referral,Kochi,Mobile App,59929,Nygil Binoy,Sales2,new,hot,2025-09-12
Onkar Chaudry,917246451043,kartushar@gmail.com,Referral,Delhi,Digital Marketing,33541,Nygil Binoy,Sales3,unavailable,cold,2025-09-27
Baiju Desai,917343100352,vohradevansh@gmail.com,Instagram,Chennai,Digital Marketing,68466,Appu Saviyo,Sales4,converted,warm,2025-10-23
Anvi Chawla,916099541460,abram33@hotmail.com,Facebook,Mumbai,ERP System,60930,Nygil Binoy,Sales2,unavailable,warm,2025-08-17
Nirvaan Sarin,916208985103,jdar@soni-dhaliwal.biz,Facebook,Bangalore,Digital Marketing,79317,Appu Saviyo,Sales3,unavailable,hot,2025-09-20
Ryan De,919638577630,gkaul@hotmail.com,Facebook,Mumbai,CRM,35664,Johnson Joseph,Sales4,converted,hot,2025-09-20
Lagan Goyal,917720484983,kbajaj@gmail.com,Facebook,Delhi,ERP System,26513,Johnson Joseph,Sales5,converted,hot,2025-10-16
Advik De,917659355558,indrans35@gmail.com,Naukri,Mumbai,ERP System,37663,Team Lead,Sales5,new,hot,2025-09-11
Charvi Maharaj,916415243819,tarini77@yahoo.com,Referral,Bangalore,Mobile App,74116,Johnson Joseph,Sales2,contacted,cold,2025-08-22
Jayan Boase,918186664545,hrishitarege@gmail.com,Referral,Delhi,Web Design,6938,Admin,Sales2,converted,warm,2025-09-25
Dhanuk Taneja,918230517007,jhaverihiran@dalia.com,Referral,Chennai,ERP System,68568,Nygil Binoy,Sales3,unavailable,warm,2025-08-06
Dishani Kari,916697940975,ranganathannavya@hotmail.com,Referral,Delhi,Mobile App,78820,Johnson Joseph,Sales5,unavailable,cold,2025-10-04
Nirvi Kohli,918103875358,lataishita@ahuja-anand.net,LinkedIn,Delhi,Mobile App,63245,Admin,Sales3,converted,cold,2025-10-15
Heer Dhar,916470748124,lswaminathan@bava.com,Referral,Delhi,Mobile App,96069,Admin,Sales5,closed,warm,2025-08-29
Miraya Lall,918815741776,priyansh61@yahoo.com,Naukri,Delhi,CRM,95555,Admin,Sales5,closed,hot,2025-09-14
Jivika Dara,918251560728,piya10@jain.biz,LinkedIn,Hyderabad,ERP System,50832,Nygil Binoy,Sales2,new,cold,2025-09-28
Bhavin Ray,919008714405,dharmajankrish@roy-srinivasan.com,Facebook,Chennai,Web Design,58807,Johnson Joseph,Sales4,contacted,warm,2025-09-29
Eva Bail,918965676060,raniawali@khanna.com,Instagram,Mumbai,ERP System,81147,Appu Saviyo,Sales1,contacted,cold,2025-10-11
Inaaya  Manda,916890525840,sakshamanand@raj.biz,Naukri,Bangalore,Digital Marketing,69875,Appu Saviyo,Sales3,contacted,warm,2025-08-13
Ishaan Manda,919917543432,isandhu@handa-shroff.com,Naukri,Bangalore,ERP System,47437,Johnson Joseph,Sales5,closed,hot,2025-10-21
Damini Sharma,917058791632,bawaadira@gmail.com,Google Ads,Delhi,Mobile App,30473,Johnson Joseph,Sales3,contacted,cold,2025-10-26
Shlok Ramakrishnan,919027901531,aniruddh47@yahoo.com,Referral,Bangalore,Digital Marketing,46718,Team Lead,Sales3,converted,hot,2025-08-28
Ishita Guha,918463064097,pihumaster@hotmail.com,LinkedIn,Delhi,Digital Marketing,52712,Johnson Joseph,Sales2,converted,hot,2025-09-11
Trisha Ranganathan,917235362881,riyabansal@gmail.com,LinkedIn,Kochi,Mobile App,58983,Johnson Joseph,Sales4,contacted,hot,2025-09-01
Vaibhav Sawhney,919556025499,xdutt@bath.com,Naukri,Bangalore,ERP System,92248,Johnson Joseph,Sales2,new,cold,2025-09-18
Tara Deshmukh,919182102503,dhruvchander@kapur-mallick.net,Naukri,Chennai,CRM,7653,Team Lead,Sales2,contacted,hot,2025-09-24
Ehsaan Arya,916430346953,ishita19@srinivasan.biz,Referral,Bangalore,Digital Marketing,14178,Nygil Binoy,Sales1,unavailable,hot,2025-08-07
Zain Hari,917747654202,kairalad@sani.com,LinkedIn,Mumbai,Digital Marketing,86267,Nygil Binoy,Sales3,converted,warm,2025-08-19
Romil Desai,918774110439,chiragchacko@yahoo.com,Facebook,Kochi,ERP System,31437,Team Lead,Sales1,contacted,warm,2025-09-01
Rohan Khurana,919789213290,ojas37@randhawa.com,Instagram,Kochi,Digital Marketing,65930,Nygil Binoy,Sales3,new,hot,2025-08-19
Aarush Hora,917281584789,vsuri@yahoo.com,Naukri,Delhi,Web Design,44914,Johnson Joseph,Sales4,unavailable,cold,2025-09-07
Nehmat Rajan,918121337685,samarth93@dugar-chakrabarti.biz,Instagram,Delhi,Digital Marketing,36761,Nygil Binoy,Sales1,converted,hot,2025-09-05
Sara Saran,919140133190,shaanguha@yahoo.com,Referral,Hyderabad,Mobile App,95188,Nygil Binoy,Sales1,converted,warm,2025-10-24
Tejas Bhandari,918438601776,pihusodhi@arya.com,LinkedIn,Chennai,CRM,81079,Appu Saviyo,Sales4,unavailable,warm,2025-09-17
Rania Banerjee,916372535899,oboase@yahoo.com,Referral,Hyderabad,Web Design,25219,Nygil Binoy,Sales4,converted,hot,2025-08-29
Nirvi Bose,916029335155,cbansal@hotmail.com,Google Ads,Mumbai,CRM,59554,Johnson Joseph,Sales3,converted,cold,2025-09-21
Hazel Kulkarni,919104756811,subramaniantaran@hotmail.com,Naukri,Kochi,Mobile App,86679,Johnson Joseph,Sales2,new,cold,2025-10-31
Emir Sodhi,916507771858,ivan90@roy.biz,Referral,Bangalore,CRM,54138,Team Lead,Sales3,new,cold,2025-10-18
Yashvi Kale,919934750046,bawapranay@kumer.net,Google Ads,Bangalore,ERP System,29947,Nygil Binoy,Sales2,closed,hot,2025-09-29
Alia Grover,917954118497,rsom@hotmail.com,LinkedIn,Delhi,Mobile App,55505,Team Lead,Sales4,unavailable,cold,2025-10-12
Shray Arora,919545940090,divanzeeshan@gmail.com,Instagram,Chennai,ERP System,11730,Team Lead,Sales4,unavailable,cold,2025-08-17
Stuvan Dugal,917553854176,nsrinivasan@hotmail.com,Facebook,Delhi,Web Design,9094,Team Lead,Sales5,contacted,cold,2025-09-21
Anika Bava,918304937838,edutta@yahoo.com,Instagram,Chennai,Mobile App,69202,Appu Saviyo,Sales1,contacted,cold,2025-08-10
Akarsh Vala,918504600194,sandhuyasmin@gmail.com,Referral,Kochi,ERP System,59390,Admin,Sales4,contacted,cold,2025-10-16
Ela Chahal,917784234958,jhanvi67@sur.com,Referral,Delhi,Web Design,74242,Appu Saviyo,Sales3,new,warm,2025-08-24
Vivaan Atwal,917092885428,brajagopalan@agate-sarraf.com,Facebook,Hyderabad,CRM,76800,Admin,Sales1,closed,warm,2025-08-25
Suhana Sarraf,919008130163,suraheer@goswami.com,Facebook,Delhi,Web Design,10046,Appu Saviyo,Sales1,converted,warm,2025-09-19
Prerak Sampath,916773013901,kimaya69@yahoo.com,Instagram,Hyderabad,Digital Marketing,50081,Appu Saviyo,Sales4,closed,warm,2025-10-01
Stuvan Goda,916344671094,parisastry@yahoo.com,LinkedIn,Hyderabad,ERP System,18431,Johnson Joseph,Sales1,contacted,cold,2025-11-03
Pari Bhavsar,917688173960,darryan@gmail.com,Naukri,Chennai,CRM,1455,Admin,Sales3,closed,cold,2025-08-23
Rania Bobal,919088485099,iraju@hotmail.com,Naukri,Mumbai,ERP System,50712,Nygil Binoy,Sales2,closed,warm,2025-09-12
Kabir Kohli,916666241244,ayeshadhawan@chander.info,Google Ads,Chennai,Web Design,5222,Appu Saviyo,Sales5,new,hot,2025-10-05
Taimur Agrawal,916885113834,kartiktandon@yahoo.com,Facebook,Kochi,ERP System,5400,Appu Saviyo,Sales5,new,hot,2025-09-29
Yuvraj  Sani,919180599722,csavant@yahoo.com,Facebook,Mumbai,Digital Marketing,31715,Team Lead,Sales2,new,hot,2025-08-22
Jivika Aurora,918164216179,arhaan43@dhawan.info,Google Ads,Chennai,ERP System,42799,Team Lead,Sales5,converted,hot,2025-09-29
Ira Kumer,917296068379,desaiurvi@tata.com,Instagram,Hyderabad,ERP System,29972,Appu Saviyo,Sales3,converted,hot,2025-10-18
Inaaya  Chopra,918391086093,shahneysa@gmail.com,Naukri,Hyderabad,CRM,83050,Appu Saviyo,Sales5,closed,hot,2025-09-03
Alisha Deep,917479250414,kandafateh@gmail.com,LinkedIn,Hyderabad,Digital Marketing,69742,Johnson Joseph,Sales4,closed,hot,2025-08-26
Rhea Ramaswamy,917288011277,mannatboase@gmail.com,Referral,Chennai,ERP System,63065,Nygil Binoy,Sales2,converted,cold,2025-10-23
Zara Balan,916619986018,kimaya82@yahoo.com,Referral,Kochi,ERP System,55090,Appu Saviyo,Sales5,unavailable,hot,2025-10-13
Riaan Mangat,917668247132,birsuhana@yahoo.com,Instagram,Bangalore,CRM,44288,Admin,Sales4,converted,hot,2025-11-03
Raghav Verma,918300537106,nishithbora@dyal.biz,LinkedIn,Chennai,Web Design,36187,Appu Saviyo,Sales5,unavailable,hot,2025-09-22
Kashvi Raval,919752171298,cguha@gmail.com,Facebook,Chennai,ERP System,95936,Team Lead,Sales2,closed,hot,2025-10-06
Yuvaan Kurian,919734361749,amani75@hotmail.com,Google Ads,Bangalore,Web Design,28762,Nygil Binoy,Sales1,closed,hot,2025-08-06
Sana Karnik,918987692130,sunderhazel@yahoo.com,Naukri,Hyderabad,CRM,52987,Nygil Binoy,Sales5,converted,warm,2025-08-27
Lakshit Kota,917634929736,raunak58@hotmail.com,Referral,Delhi,Mobile App,41425,Johnson Joseph,Sales3,unavailable,warm,2025-08-18
Vedika Garg,918001472250,bawamishti@anand-bhatia.com,Facebook,Hyderabad,Digital Marketing,42973,Nygil Binoy,Sales3,converted,warm,2025-09-17
Aarav Kala,916196346343,nehmatdora@vohra.com,Naukri,Chennai,CRM,3125,Johnson Joseph,Sales5,unavailable,cold,2025-10-08
Ojas Barman,919092427725,baijuhora@hotmail.com,Referral,Bangalore,CRM,26715,Johnson Joseph,Sales2,closed,cold,2025-09-04
Aaryahi Sagar,919579265601,acharyalakshit@barad-bhatti.org,Instagram,Mumbai,ERP System,86800,Johnson Joseph,Sales3,closed,cold,2025-08-27
Aayush Agrawal,918756056675,vasaaarna@hotmail.com,LinkedIn,Mumbai,Digital Marketing,23050,Johnson Joseph,Sales2,contacted,cold,2025-08-18
Devansh Contractor,918347398593,settyzara@gmail.com,Referral,Chennai,ERP System,85123,Admin,Sales5,new,hot,2025-08-16
Tushar Wadhwa,919513265673,vaibhavsoman@gmail.com,LinkedIn,Kochi,Web Design,55053,Nygil Binoy,Sales2,new,cold,2025-10-07
Darshit Lanka,916648667392,advikagill@chhabra.com,Facebook,Chennai,ERP System,60770,Johnson Joseph,Sales1,unavailable,cold,2025-11-03
Mannat Sankar,918863689749,dhruvyadav@gmail.com,Naukri,Mumbai,Digital Marketing,3061,Admin,Sales5,unavailable,warm,2025-08-19
Khushi Sethi,916050899550,aaryahi52@gmail.com,Facebook,Delhi,Mobile App,71220,Johnson Joseph,Sales1,unavailable,cold,2025-09-01
Nishith Malhotra,918894949501,valanirvi@yahoo.com,Referral,Chennai,Web Design,13624,Team Lead,Sales2,contacted,hot,2025-08-25
Siya Hayre,918661938440,srinivasanyashvi@gmail.com,Naukri,Bangalore,Mobile App,36038,Appu Saviyo,Sales1,converted,warm,2025-09-23
Faiyaz Dara,917971380304,lallaabram@yahoo.com,Naukri,Chennai,CRM,40318,Admin,Sales1,new,warm,2025-09-05
Vidur Vasa,917628926576,inaaya-27@gmail.com,Referral,Delhi,Digital Marketing,8355,Admin,Sales2,new,warm,2025-08-07
Abram Deep,919630663819,balanvritika@kulkarni-dhar.net,Referral,Hyderabad,Mobile App,75167,Admin,Sales5,new,hot,2025-10-19
Aarna Sarna,916908029328,reddyheer@hotmail.com,LinkedIn,Delhi,Digital Marketing,36532,Admin,Sales1,converted,cold,2025-10-04
Ranbir Barman,918420256439,kumerlagan@gmail.com,LinkedIn,Kochi,CRM,42220,Admin,Sales2,unavailable,hot,2025-09-27
Vihaan Raj,919230908336,rasha63@das.biz,LinkedIn,Mumbai,Web Design,40226,Nygil Binoy,Sales5,contacted,cold,2025-08-17
Manjari Ramanathan,919584796846,nitya21@sathe.com,Referral,Hyderabad,ERP System,44480,Appu Saviyo,Sales2,new,cold,2025-08-21
Shray Lal,919201711520,umangbhatnagar@hotmail.com,Google Ads,Kochi,Web Design,58290,Nygil Binoy,Sales1,converted,cold,2025-10-20
Sana Wali,919302854133,ganeshzara@deshpande-lala.com,Naukri,Delhi,Digital Marketing,43778,Admin,Sales3,closed,warm,2025-08-31
Charvi Kari,916979846924,krishjiya@gmail.com,Google Ads,Delhi,Digital Marketing,57603,Nygil Binoy,Sales5,closed,hot,2025-09-10
Onkar Som,919316433748,comarseher@agarwal.com,Naukri,Bangalore,CRM,94468,Admin,Sales1,converted,hot,2025-08-29
Anaya Gopal,917632087531,jayeshvarughese@gmail.com,LinkedIn,Hyderabad,CRM,97948,Appu Saviyo,Sales3,converted,hot,2025-09-28
Mamooty Dyal,916393077279,usem@tella-barad.org,Facebook,Bangalore,Digital Marketing,48175,Johnson Joseph,Sales1,contacted,hot,2025-09-11
Damini Samra,916804841598,mamootysuri@bajaj.info,Referral,Mumbai,ERP System,73710,Team Lead,Sales4,new,hot,2025-10-29
Urvi Uppal,916384909986,dhruv87@gmail.com,Google Ads,Delhi,Web Design,79240,Team Lead,Sales3,closed,hot,2025-09-10
Riaan Manda,917253474844,anahigour@hotmail.com,Referral,Mumbai,Web Design,96006,Team Lead,Sales2,unavailable,cold,2025-09-22
Sana Yohannan,916728353118,aarushjayaraman@dada.com,LinkedIn,Mumbai,CRM,19198,Johnson Joseph,Sales3,converted,warm,2025-10-06
Shamik Acharya,916626785308,ehsaan38@gmail.com,Facebook,Chennai,Digital Marketing,37170,Appu Saviyo,Sales3,closed,hot,2025-09-15
Biju Bobal,917551019709,bainsmehul@hotmail.com,Google Ads,Chennai,Digital Marketing,78831,Team Lead,Sales2,closed,hot,2025-09-15
Amira Shenoy,916581923103,krishnanhimmat@tank.org,Google Ads,Kochi,Digital Marketing,44544,Team Lead,Sales4,converted,warm,2025-09-30
Adira Saini,917437681124,riaande@suresh-hegde.com,Referral,Hyderabad,ERP System,18842,Johnson Joseph,Sales3,unavailable,cold,2025-09-05
Purab Dada,916862650571,himmatsridhar@bhagat.com,Referral,Bangalore,CRM,53198,Johnson Joseph,Sales3,closed,cold,2025-09-18
Saksham Jani,919358554365,trisha37@kata-deo.com,Instagram,Bangalore,Digital Marketing,37739,Appu Saviyo,Sales3,new,cold,2025-08-14
Zara Sankar,916858134663,chokshishaan@gmail.com,Naukri,Delhi,CRM,90353,Team Lead,Sales1,closed,cold,2025-08-14
Taimur Hora,916900432998,pranay20@varma-kara.net,Referral,Bangalore,Web Design,54627,Appu Saviyo,Sales2,converted,hot,2025-10-17
Divit Kashyap,917085259583,gatikahuja@thakur.com,LinkedIn,Chennai,Digital Marketing,50412,Admin,Sales4,unavailable,warm,2025-08-25
Umang Sankar,918500719008,dhanuk01@zacharia.info,Referral,Delhi,ERP System,91663,Appu Saviyo,Sales5,new,warm,2025-10-23
Divij Zachariah,919013496306,bailanahi@gmail.com,Naukri,Delhi,Web Design,15335,Nygil Binoy,Sales3,contacted,cold,2025-08-22
Samaira Hora,918631431563,halderpihu@yahoo.com,Facebook,Delhi,Digital Marketing,99655,Johnson Joseph,Sales4,new,hot,2025-08-22
Lakshit Chander,916423511939,alia20@hotmail.com,Google Ads,Chennai,ERP System,98891,Team Lead,Sales5,unavailable,cold,2025-10-05
Neelofar Divan,918470617247,jwadhwa@yahoo.com,Instagram,Mumbai,Mobile App,52266,Appu Saviyo,Sales5,unavailable,hot,2025-08-11
Ranbir Handa,917481623643,pchaudhry@dash.net,Facebook,Mumbai,Web Design,39722,Appu Saviyo,Sales1,new,cold,2025-10-22
Vaibhav Srinivas,916608490241,ymagar@yahoo.com,Google Ads,Bangalore,Mobile App,60681,Nygil Binoy,Sales5,closed,warm,2025-09-08
Vidur Deshmukh,918045102506,duttakimaya@aurora.com,Facebook,Mumbai,Digital Marketing,42800,Admin,Sales3,new,cold,2025-10-23
Eva Gola,916494287462,divyanshdasgupta@dara.com,Facebook,Bangalore,Web Design,89754,Nygil Binoy,Sales2,unavailable,hot,2025-10-19
Kashvi Vaidya,918370436671,jayant23@hotmail.com,Instagram,Bangalore,ERP System,56885,Appu Saviyo,Sales2,closed,cold,2025-09-05
Kiara Atwal,916792214339,jivikachandra@yahoo.com,Instagram,Hyderabad,Digital Marketing,52849,Admin,Sales5,contacted,warm,2025-09-27
Jayant Korpal,918543493201,balamehul@choudhary.info,Referral,Mumbai,Web Design,93371,Nygil Binoy,Sales2,converted,cold,2025-08-06
Mannat Chaudhuri,919473467988,saanvi25@apte.org,Facebook,Delhi,Web Design,71371,Nygil Binoy,Sales3,converted,hot,2025-10-13
Urvi Bhakta,917965164102,groverrenee@hotmail.com,Facebook,Bangalore,Digital Marketing,70168,Johnson Joseph,Sales5,closed,cold,2025-09-13
Shayak Dora,917685963666,indranilsetty@yahoo.com,Naukri,Kochi,Mobile App,47135,Appu Saviyo,Sales5,contacted,cold,2025-10-21
Nehmat Dutt,919032196927,mamooty92@dube-sha.com,Google Ads,Delhi,ERP System,12108,Nygil Binoy,Sales3,new,hot,2025-08-18
Samiha Acharya,917311597141,chandlavanya@yahoo.com,Facebook,Chennai,Mobile App,91890,Nygil Binoy,Sales5,closed,warm,2025-11-03
Navya Mandal,918561629386,vbobal@barad.com,Instagram,Delhi,Digital Marketing,56448,Nygil Binoy,Sales4,unavailable,cold,2025-08-22
Rhea Sampath,919947766401,qahluwalia@gmail.com,LinkedIn,Chennai,ERP System,22871,Appu Saviyo,Sales3,contacted,hot,2025-08-30
Stuvan Dave,917351110867,bajwaveer@sha-kadakia.com,Referral,Delhi,Web Design,48059,Admin,Sales4,contacted,hot,2025-10-30
Bhamini Wadhwa,919501325792,inaaya-61@yahoo.com,Referral,Delhi,ERP System,86599,Appu Saviyo,Sales4,closed,warm,2025-10-21
Ishaan Kara,919050038261,dinakarsh@de-ben.com,Referral,Mumbai,CRM,11835,Team Lead,Sales1,contacted,warm,2025-09-08
